Bulan,Minggu ke-,Kab/Kota, Indikator Perubahan Harga (%),Komoditas Andil Perubahan Harga ,Komoditas Fluktuasi Harga Tertinggi,Fluktuasi Harga
Januari,M1,BATU,-1.34,"TELUR AYAM RAS(-0,773);PISANG(-0,333);DAGING AYAM RAS(-0,287)",CABAI RAWIT,0.0553
,M2,BATU,0.93,"CABAI RAWIT(0,063);MINYAK GORENG(0,054);CABAI MERAH(0,019)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.0329914
Februari,M2,BATU,1.36,"BERAS(0,116);MINYAK GORENG(0,048);BAWANG MERAH(0,019)",CABAI MERAH,0.0349386
,M3,BATU,1.82,"BERAS(0,116);MINYAK GORENG(0,051);BAWANG MERAH(0,025)",CABAI MERAH,0.0657667
,M4,BATU,2.18,"BERAS(1,163);CABAI RAWIT(0,449);MINYAK GORENG(0,405)",BAWANG MERAH,0.06
Maret,M1,BATU,-1.27,"BERAS(-0,873);BAWANG MERAH(-0,39);MINYAK GORENG(-0,161)",CABAI MERAH,0.08
,M2,BATU,-1.49,"BERAS(-1,241);BAWANG MERAH(-0,287);MINYAK GORENG(-0,221)",CABAI RAWIT,0.04
,M3,BATU,-1.06,"BERAS(-1,26);BAWANG MERAH(-0,28);MINYAK GORENG(-0,229)",BAWANG MERAH,0.03
,M4,BATU,-0.83,"BERAS(-1,266);BAWANG MERAH(-0,294);MINYAK GORENG(-0,255)",TELUR AYAM RAS,0.02
,M5,BATU,-0.853,"BERAS(-1,34);BAWANG MERAH(-0,315);MINYAK GORENG(-0,283)",CABAI RAWIT,0.1026984
April,M1,BATU,-1.786,"CABAI RAWIT(-1,825);DAGING AYAM RAS(-0,223);CABAI MERAH(-0,173)",CABAI RAWIT,0.1117452
,M2,BATU,-1.786,"CABAI RAWIT(-1,825);DAGING AYAM RAS(-0,223);CABAI MERAH(-0,173)",CABAI RAWIT,0.0901961
,M4,BATU,-1.786,"CABAI RAWIT(-1,825);DAGING AYAM RAS(-0,223);CABAI MERAH(-0,173)",CABAI RAWIT,0.0606073
Mei,M1,BATU,0.189,"DAGING AYAM RAS(1,767);BERAS(0,627);MIE KERING INSTANT(0)",STABIL,0
,M2,BATU,0.508,"DAGING AYAM RAS(1,606);BERAS(0,974);MINYAK GORENG(0,243)",BAWANG MERAH,0.0364878
,M3,BATU,0.718,"DAGING AYAM RAS(1,435);BERAS(1,06);MINYAK GORENG(0,304)",CABAI RAWIT,0.1115178
,M4,BATU,1.258,"DAGING AYAM RAS(1,527);BERAS(1,114);MINYAK GORENG(0,342)",CABAI RAWIT,0.1351534
,M5,BATU,1.536,"DAGING AYAM RAS(1,561);BERAS(1,134);MINYAK GORENG(0,357)",CABAI RAWIT,0.2129071
Juni,M1,BATU,1.655,"CABAI RAWIT(0,844);TELUR AYAM RAS(0,259);MINYAK GORENG(0,215)",BAWANG PUTIH,0.0366568
,M2,BATU,1.649,"CABAI RAWIT(0,844);DAGING AYAM RAS(0,411);TELUR AYAM RAS(0,278)",BAWANG PUTIH,0.040984
,M3,BATU,1.644,CABAI RAWIT(0.817);DAGING AYAM RAS(0.457);TELUR AYAM RAS(0.272),BAWANG PUTIH,0.0395459
,M4,BATU,1.071,CABAI RAWIT(0.404);DAGING AYAM RAS(0.223);BAWANG PUTIH(0.191),CABAI RAWIT,0.1150448
Juli,M1,BATU,-0.02,CABAI RAWIT(-0.242);DAGING SAPI(-0.183);MINYAK GORENG(-0.024),CABAI MERAH,0.0894427
,M2,BATU,0.115,DAGING AYAM RAS(0.203);CABAI MERAH(0.109);BERAS(0.036),CABAI MERAH,0.0760726
,M3,BATU,0.13,DAGING AYAM RAS(0.203);CABAI MERAH(0.095);BERAS(0.04),CABAI MERAH,0.0670399
,M4,BATU,0.093,DAGING AYAM RAS(0.203);CABAI MERAH(0.072);TELUR AYAM RAS(0.046),CABAI MERAH,0.0669665
Agustus,M1,BATU,-0.03,"BAWANG MERAH(-0,144);CABAI MERAH(-0,114);DAGING AYAM RAS(-0,067)",DAGING AYAM RAS,0.0244379
,M2,BATU,-0.737,"DAGING AYAM RAS(-0,545);BAWANG MERAH(-0,265);CABAI MERAH(-0,064)",BAWANG MERAH,0.0958266
,M3,BATU,-0.888,"DAGING AYAM RAS(-0,577);BAWANG MERAH(-0,298);DAGING SAPI(-0,099)",BAWANG MERAH,0.0928191
,M4,BATU,-0.9,DAGING AYAM RAS(-0.598);BAWANG MERAH(-0.319);DAGING SAPI(-0.123),BAWANG MERAH,0.0859586
September,M1,BATU,-0.548,CABAI RAWIT(-0.44);TELUR AYAM RAS(-0.332);BAWANG MERAH(-0.163),STABIL,0
,M2,BATU,-0.6,CABAI RAWIT(-0.44);TELUR AYAM RAS(-0.332);BAWANG MERAH(-0.223),CABAI MERAH,0.0798555
,M3,BATU,-0.404,CABAI RAWIT(-0.44);TELUR AYAM RAS(-0.332);BAWANG MERAH(-0.242),CABAI MERAH,0.1095931
,M4,BATU,-0.37,CABAI RAWIT(-0.44);TELUR AYAM RAS(-0.332);BAWANG MERAH(-0.261),CABAI MERAH,0.1169109
Oktober,M1,BATU,0.101,BERAS(0.438);GULA PASIR(0.045);TEMPE(0),STABIL,0
,M2,BATU,0.221,BERAS(0.438);CABAI RAWIT(0.096);GULA PASIR(0.045),CABAI RAWIT,0.0958266
,M3,BATU,0.323,BERAS(0.438);CABAI RAWIT(0.19);GULA PASIR(0.045),CABAI RAWIT,0.1408591
,M4,BATU,0.363,BERAS(0.438);CABAI RAWIT(0.283);GULA PASIR(0.045),CABAI RAWIT,0.1764736
November,M1,BATU,0.672,CABAI RAWIT(0.75);CABAI MERAH(0.224);BAWANG MERAH(0.017),STABIL,0
,M2,BATU,0.887,CABAI RAWIT(0.89);CABAI MERAH(0.367);GULA PASIR(0.049),CABAI MERAH,0.0752923
,M3,BATU,1.534,CABAI RAWIT(1.193);CABAI MERAH(0.632);GULA PASIR(0.115),CABAI MERAH,0.1904529
,M4,BATU,2.077,CABAI RAWIT(1.417);CABAI MERAH(0.822);GULA PASIR(0.188),CABAI MERAH,0.2060118
Desember,M1,BATU,2.021,CABAI MERAH(1.359);CABAI RAWIT(0.853);BAWANG MERAH(0.241),STABIL,0
,M2,BATU,2.414,CABAI MERAH(1.467);CABAI RAWIT(0.991);BAWANG MERAH(0.274),CABAI RAWIT,0.034003
,M3,BATU,2.414,CABAI MERAH(1.355);CABAI RAWIT(0.846);BAWANG MERAH(0.347),BAWANG MERAH,0.0659748
,M4,BATU,2.288,CABAI MERAH(1.21);CABAI RAWIT(0.799);BAWANG MERAH(0.351),CABAI MERAH,0.0903766
Januari '24,M1,BATU,0.166,DAGING SAPI(0.716);BAWANG PUTIH(0.126);BAWANG MERAH(0.053),CABAI MERAH,0.0524864
,M2,BATU,-0.746,CABAI MERAH(-0.977);CABAI RAWIT(-0.393);TELUR AYAM RAS(-0.042),CABAI RAWIT,0.0633677
,M3,BATU,-1.6,"CABAI RAWIT(-1.0273), CABAI MERAH(-0.9684), DAGING AYAM RAS(-0.0618)",CABAI RAWIT,0.2
,M4,BATU,-2.137,CABAI RAWIT(-1.409);CABAI MERAH(-0.96);DAGING AYAM RAS(-0.098),CABAI RAWIT,0.243442094
Februari '24,M1,BATU,-2.694,BERAS(-1.851);CABAI RAWIT(-0.903);DAGING SAPI(-0.185),BERAS,0.047217462
,M2,BATU,-2.328,BERAS(-1.775);CABAI RAWIT(-0.903);DAGING AYAM RAS(-0.103),BERAS,0.031829896
,M3,BATU,-1.962,BERAS(-1.536);CABAI RAWIT(-1.023);BAWANG MERAH(-0.074),CABAI RAWIT,0.06
,M4,BATU,0.355,"CABAI MERAH(0,524);BERAS(0,494);DAGING SAPI(0,13)",CABAI RAWIT,0.094135296
,M5,BATU,1.492,"BERAS(0,995);CABAI MERAH(0,643);DAGING AYAM RAS(0,251)",CABAI RAWIT,0.209758486
Maret'24,M1,BATU,4.523,"BERAS(1,77);DAGING AYAM RAS(1,046);TELUR AYAM RAS(0,483)",STABIL,0
,M2,BATU,4.793,"BERAS(1,77);DAGING AYAM RAS(1,352);TELUR AYAM RAS(0,554)",CABAI MERAH,0.049698638
,M3,BATU,4.489,"BERAS(1,77); DAGING AYAM RAS(1,758); TELUR AYAM RAS(0,671)",CABAI RAWIT,0.210708888
,M4,BATU,3.92,"DAGING AYAM RAS(1,788); BERAS(1,77); TELUR AYAM RAS(0,671)",CABAI RAWIT,0.260894725
April'24,M1,BATU,-3.69,"CABAI MERAH(-1.1446), BERAS(-0.9792), CABAI RAWIT(-0.8677)",CABAI RAWIT,0.09
,M3,BATU,-3.38,"BERAS(-1.2585), CABAI MERAH(-1.1175), CABAI RAWIT(-0.7906)",BAWANG MERAH,0.165875836
,M4,BATU,-3.43,"BERAS(-1.3819), CABAI MERAH(-1.1503), CABAI RAWIT(-0.8411)",BAWANG MERAH,0.1816
Mei'24,M1,BATU,1.58,"BAWANG MERAH(1.1576), CABAI MERAH(0.3723), BAWANG PUTIH(0.3012)",CABAI MERAH,0.064516129
,M2,BATU,1.81,"BAWANG MERAH(1.322), CABAI MERAH(0.5529), BAWANG PUTIH(0.3706)",CABAI RAWIT,0.095939933
,M3,BATU,2.08,"BAWANG MERAH(1.2527), CABAI MERAH(0.7264), BAWANG PUTIH(0.4097)",CABAI MERAH,0.095345188
,M4,BATU,1.89,"BAWANG MERAH(1.1497), CABAI MERAH(0.6833), BAWANG PUTIH(0.4034)",CABAI MERAH,0.094211144
,M5,BATU,1.5,"BAWANG MERAH(0.9942), CABAI MERAH(0.5091), BAWANG PUTIH(0.3752)",CABAI MERAH,0.132561534
