Periode,Tanggal,Bulan,Minggu,Indikator_Harga,Fluktuasi_Tertinggi,Lag_1,Lag_2,Lag_3,Lag_4,MA_3,MA_7,Year,Month,Quarter,WeekOfYear,Data_Source,Last_Updated,Tahun,Bulan_Numerik,Minggu_Dalam_Bulan
7,2023-03-08,Maret,M2,-1.49,,-1.27,2.18,1.82,1.36,-0.1933333333333333,0.3128571428571429,2023,3,1,10,uploaded,2025-08-18T21:55:00.962695,2023.0,3.0,2.0
8,2023-03-15,Maret,M3,-1.06,,-1.49,-1.27,2.18,1.82,-1.2733333333333334,0.3528571428571429,2023,3,1,11,uploaded,2025-08-18T21:55:00.962695,2023.0,3.0,3.0
9,2023-03-22,Maret,M4,-0.83,,-1.06,-1.49,-1.27,2.18,-1.1266666666666667,0.1014285714285715,2023,3,1,12,uploaded,2025-08-18T21:55:00.962695,2023.0,3.0,4.0
10,2023-03-29,Maret,M5,-0.853,,-0.83,-1.06,-1.49,-1.27,-0.9143333333333334,-0.2147142857142856,2023,3,1,13,uploaded,2025-08-18T21:55:00.962695,2023.0,3.0,5.0
11,2023-04-01,April,M1,-1.786,,-0.853,-0.83,-1.06,-1.49,-1.1563333333333334,-0.7298571428571429,2023,4,2,13,uploaded,2025-08-18T21:55:00.962695,2023.0,4.0,1.0
12,2023-04-08,April,M2,-1.786,,-1.786,-0.853,-0.83,-1.06,-1.4750000000000003,-1.2964285714285713,2023,4,2,14,uploaded,2025-08-18T21:55:00.962695,2023.0,4.0,2.0
13,2023-04-22,April,M4,-1.786,,-1.786,-1.786,-0.853,-0.83,-1.7860000000000005,-1.370142857142857,2023,4,2,16,uploaded,2025-08-18T21:55:00.962695,2023.0,4.0,4.0
14,2023-05-01,Mei,M1,0.189,,-1.786,-1.786,-1.786,-0.853,-1.1276666666666668,-1.1302857142857143,2023,5,2,18,uploaded,2025-08-18T21:55:00.962695,2023.0,5.0,1.0
15,2023-05-08,Mei,M2,0.508,,0.189,-1.786,-1.786,-1.786,-0.3630000000000001,-0.9062857142857144,2023,5,2,19,uploaded,2025-08-18T21:55:00.962695,2023.0,5.0,2.0
16,2023-05-15,Mei,M3,0.718,,0.508,0.189,-1.786,-1.786,0.4716666666666665,-0.685142857142857,2023,5,2,20,uploaded,2025-08-18T21:55:00.962695,2023.0,5.0,3.0
17,2023-05-22,Mei,M4,1.258,,0.718,0.508,0.189,-1.786,0.8279999999999998,-0.3835714285714285,2023,5,2,21,uploaded,2025-08-18T21:55:00.962695,2023.0,5.0,4.0
18,2023-05-29,Mei,M5,1.536,,1.258,0.718,0.508,0.189,1.1706666666666663,0.091,2023,5,2,22,uploaded,2025-08-18T21:55:00.962695,2023.0,5.0,5.0
19,2023-06-01,Juni,M1,1.655,,1.536,1.258,0.718,0.508,1.483,0.5825714285714286,2023,6,2,22,uploaded,2025-08-18T21:55:00.962695,2023.0,6.0,1.0
20,2023-06-08,Juni,M2,1.649,,1.655,1.536,1.258,0.718,1.6133333333333333,1.0732857142857144,2023,6,2,23,uploaded,2025-08-18T21:55:00.962695,2023.0,6.0,2.0
21,2023-06-15,Juni,M3,1.644,,1.649,1.655,1.536,1.258,1.649333333333333,1.2811428571428571,2023,6,2,24,uploaded,2025-08-18T21:55:00.962695,2023.0,6.0,3.0
22,2023-06-22,Juni,M4,1.071,,1.644,1.649,1.655,1.536,1.4546666666666663,1.3615714285714284,2023,6,2,25,uploaded,2025-08-18T21:55:00.962695,2023.0,6.0,4.0
23,2023-07-01,Juli,M1,-0.02,,1.071,1.644,1.649,1.655,0.8983333333333331,1.256142857142857,2023,7,3,26,uploaded,2025-08-18T21:55:00.962695,2023.0,7.0,1.0
24,2023-07-08,Juli,M2,0.115,,-0.02,1.071,1.644,1.649,0.3886666666666665,1.092857142857143,2023,7,3,27,uploaded,2025-08-18T21:55:00.962695,2023.0,7.0,2.0
