Tanggal,Indikator_Harga,Periode,Bulan,Minggu,Tahun,Bulan_Numerik,Year,Month,Quarter,WeekOfYear,Data_Source,Last_Updated,Lag_1,MA_3
2024-01-01,1.5,1,,,,,2024,1,1,1,uploaded,2025-08-19T05:50:51.936662,,
2024-01-02,-1.5197643500974087,2,,,,,2024,1,1,1,uploaded,2025-08-19T05:50:51.936662,,
2024-01-03,-1.3519335996990625,3,,,,,2024,1,1,1,uploaded,2025-08-19T05:50:51.936662,,
2024-01-04,1.1377912124895793,4,,,,,2024,1,1,1,uploaded,2025-08-19T05:50:51.936662,,
2024-01-05,-0.1588663676607667,5,,,,,2024,1,1,1,uploaded,2025-08-19T05:50:51.936662,,
2024-01-06,1.9431613642347605,6,,,,,2024,1,1,1,uploaded,2025-08-19T05:50:51.936662,,
2024-01-07,-0.8167633665581454,7,,,,,2024,1,1,1,uploaded,2025-08-19T05:50:51.936662,,
2024-01-08,-0.8,2,,,,,2024,1,1,2,uploaded,2025-08-19T05:50:51.936662,1.5,
2024-01-09,-0.6806725705425686,9,,,,,2024,1,1,2,uploaded,2025-08-19T05:50:51.936662,,
2024-01-10,0.3357784980290182,10,,,,,2024,1,1,2,uploaded,2025-08-19T05:50:51.936662,,
2024-01-15,2.1,3,,,,,2024,1,1,3,uploaded,2025-08-19T05:50:51.936662,-0.8,0.6
