Tanggal,Indikator_Harga,Periode,Bulan,Minggu,Tahun,Bulan_Numerik,Year,Month,Quarter,WeekOfYear,Data_Source,Last_Updated,Lag_1,MA_3,Minggu_Dalam_Bulan,Lag_2,Lag_3,Lag_4,MA_7,Minggu ke-,Komoditas Andil Perubahan Harga
2023-03-08,-1.49,7.0,Maret,M2,2023.0,3.0,2023,3,1,10,uploaded,2025-08-19T06:30:30.645299,-1.27,-0.1933333333333333,2.0,2.18,1.82,1.36,0.3128571428571429,,
2023-03-15,-1.06,8.0,Maret,M3,2023.0,3.0,2023,3,1,11,uploaded,2025-08-19T06:30:30.645299,-1.49,-1.2733333333333334,3.0,-1.27,2.18,1.82,0.3528571428571429,,
2023-03-22,-0.83,9.0,Maret,M4,2023.0,3.0,2023,3,1,12,uploaded,2025-08-19T06:30:30.645299,-1.06,-1.1266666666666667,4.0,-1.49,-1.27,2.18,0.1014285714285715,,
2023-03-29,-0.853,10.0,Maret,M5,2023.0,3.0,2023,3,1,13,uploaded,2025-08-19T06:30:30.645299,-0.83,-0.9143333333333334,5.0,-1.06,-1.49,-1.27,-0.2147142857142856,,
2023-04-01,-1.786,11.0,April,M1,2023.0,4.0,2023,4,2,13,uploaded,2025-08-19T06:30:30.645299,-0.853,-1.1563333333333334,1.0,-0.83,-1.06,-1.49,-0.7298571428571429,,
2023-04-08,-1.786,12.0,April,M2,2023.0,4.0,2023,4,2,14,uploaded,2025-08-19T06:30:30.645299,-1.786,-1.4750000000000003,2.0,-0.853,-0.83,-1.06,-1.2964285714285713,,
2023-04-22,-1.786,13.0,April,M4,2023.0,4.0,2023,4,2,16,uploaded,2025-08-19T06:30:30.645299,-1.786,-1.7860000000000005,4.0,-1.786,-0.853,-0.83,-1.370142857142857,,
2023-05-01,0.189,14.0,Mei,M1,2023.0,5.0,2023,5,2,18,uploaded,2025-08-19T06:30:30.645299,-1.786,-1.1276666666666668,1.0,-1.786,-1.786,-0.853,-1.1302857142857143,,
2023-05-08,0.508,15.0,Mei,M2,2023.0,5.0,2023,5,2,19,uploaded,2025-08-19T06:30:30.645299,0.189,-0.3630000000000001,2.0,-1.786,-1.786,-1.786,-0.9062857142857144,,
2023-05-15,0.718,16.0,Mei,M3,2023.0,5.0,2023,5,2,20,uploaded,2025-08-19T06:30:30.645299,0.508,0.4716666666666665,3.0,0.189,-1.786,-1.786,-0.685142857142857,,
